first_name;last_name;nickname;team;id
Diogo;Sampaio Araujo;Moreno;Soul Fighters;1003
Diogo;Reis;;Escola Melqui Galvão;11823
DeAlonzio;Jackson;DJ, Kimura Kid;Lloyd Irvin;2226
Deandre;Corbe;;Coastal BJJ;9934
Dominique;Bell;;Atos;9321
Dominika;Obelenyte;;Alliance;5229
Donald;Achnick;Donnie;Team Lloyd Irvin;8128
Dorian;Olivarez;;Team Olivarez;13729
Doug;Pelinkovic;;Renzo Gracie Academy;10000
Dustin;Denes;Clean;;1680
Eddie;Bravo;;10th Planet;4317
Edson;Diniz;;InFight;9941
Eduardo;Azevedo;;;10835
Eduardo;Avelar;;Soul Fighters;10835
Eduardo;Barboza;;GF Team;7405
Eduardo;Barros;;;199
Eduardo;Conceicao;Jamelão;;1152
Eduardo;Galvao;;Gracie Barra;9901
Eduardo;Goncalves;;ATT;3508
Eduardo;Granzotto;Dudu;Checkmat;13483
Eduardo;Leitao;;Cia Paulista;4874
Eduardo;Lopes;Duzao;Guigo JJ;9483
Eduardo;Monteiro;;Gracie Fortaleza;1520
Eduardo;Roque;;Gordo JJ / R1ng;12539
Eduardo;Santoro;Portugues;Cia Paulista;2324
Eduardo;Telles;;Nine Nine;562
Eduardo;Tinoco;;Almeida JJ;8602
Eduardo;Ramos;;;11357
Eduardo;Rios;Teta;Frontline;9587
Eduardo;Venancio;Brigadeiro;Brigadeiro Jiu Jitsu;3371
Edward;Cummings;Eddie, Wolverine;Renzo Gracie Academy;7442
Edwin;Najmi;;Gracie Barra;5238
Edwin;Junny;Ocasio;Unity;10380
Eldar;Rafigaev;;Jungle BJJ;10318
Elder;Cruz;El Monstro;Checkmat;12922
Eleftheria;Christodoulou;;ZR Team;13095
Elena;Carauni;;;13419
Eloisa;Souto;Elo;Kimura/Nova União;7606
Elijah;Dorsey;;Team Lloyd Irvin;12897
Elina;Moestam;;Checkmat;11182
Eliot;Marshall;;Easton Training Centre;7639
Elisabeth;Clay;;Ares JJ;11762
Elvira;Karppinen;;10th Planet;10290
Emilio;Hernandez;;Zenith BJJ;11093
Emilly;Alves Vasconcelos;;Atos;11669
Emilly;Fernandez;;LEAD;13170
Enderson;Dias;;;12680
Endres;Barbosa Mendes;;Checkmat;9465
Eric;Phan;;;10623
Erich;Munis;;;11693
Ericka;Almeida;;Gracie Barra;9868
Erik;Wanderley;;Gracie Barra;1229
Erin;Harpe;;Gracie Jiu-Jitsu;12293
Erin;Herle;;Alliance;8605
Espen;Mathiesen;;Kimura Nova Uniao;8215
Estevan;Martinez;;ZR Team;12120
Ethan;Crelinsten;;B Team;11223
Everton;Santana;;;1367
Fabiana;Borges;;Gracie Barra;970
Fabiano;Silva;;American Top Team;1713
Fabbio;Passos;;Alliance;9725
Fabio;Alano;Kamikaze;Alliance;10252
Fabio;Andrade;;GF Team;1665
Fabio;Andrade;;Nova Uniao;3402
Fabio;Caloi;;Alliance;4115
Fabio;Clemente;;Alliance;2266
Fabio;Gurgel;General;Alliance;322
Fabio;Leopoldo;;Gracie Morumbi;658
Fabio;Prado;Pateta;FP JJ;1303
Fabio;Santos;;;2068
Fabricio;Andrey;;Escola Melqui Galvão;11497
Fabricio;Barbarotti;;PSLPB;12629
Fabricio;Camoes;Morango;Gracie Humaita;7878
Fabricio;Martins;;Equipe Fabricio;1886
Fabricio;Medici;;Kioto;9370
Fabricio;Moreira;;Qatar JJ;9127
Fabyury;Khrysthyan;;GF Team;13785
Fabricio;Werdum;Vai Cavalo;Winner-Behring;573
Faustino;Neto;Pina;Clube Pina de Jiu Jitsu;7675
Ffion;Davies;;ECJJ;9404
Federico;Tisi;;;2056
Felipe;Bezerra;;Checkmat;7537
Felipe;Cavalcante;;;1268
Felipe;Cesar;Felipinho;Barbosa JJ;4542
Felipe;Costa;;Brasa;465
Felipe;Pena;Preguiça;Gracie Barra;2416
Felipe;Linhares;Felipinho;Alliance;9309
Felipe;Neto;Zicro;Alliance;5067
Felipe;Mota;Gargamel;Roger Gracie Academy;6209
Felipe;Silva;Bocao;Infight;6029
Fellipe;Andrew;;;8514
Fellipe;Trovo;;Gracie Barra / Ushirobira JJ;8686
Frank;Cespedes;;Alliance;12848
Frank;Rosenthal;;Renzo Gracie Academy;9760
Fernando Augusto;Silva;Terere;Alliance;437
Fernando;Di Piero;Soluço;Alliance;1403
Fernando;Marques;Boi;Carlson Gracie;690
Fernando;Guimaraes;Pinduka;Nova Uniao;1855
Fernando;Monteiro;;Brazil 021;690
Fernando;Paradeda;;;1411
Fernando;Pontes;Margarida;;1916
Fernando;Vieira;;;86
Fernando;Aleluia;;Brazil 021;2304
Fernanda;Cristo;;Evox;12719
Firas;Zahabi;;TriStar Gym;9859
Flavio;Almeida;Cachorrinho;Gracie Barra;1044
Flavio;Behring;;;1495
Flavio;Junqueira;;Alliance;11456
Flavio;Vianna;;;11039
Florian;Bayili;;;13842
Francisco;Cuneo;;;12372
Francisco;Albuquerque;Toco;Nova Geracao;714
Francisco;Lo;;PSLPB Cicero Costha;13076
Francisco;Fernandes;Chiquinho de Cuiaba;Gracie Barra;714
Francisco;Mansur;;Kioto;2040
Francisco;Mendes;Chico;Checkmat;1081
Francisco;Sa;;SAS;2091
Fredson;Paixao;;;819
